,ts_event,open,high,low,close,volume,product_id,ticker
4,2022-09-28 08:00:00,234.31,234.38,234.24,234.38,114,7349,MSFT
10,2022-09-28 08:01:00,234.03,234.54,234.01,234.13,319,7349,MSFT
18,2022-09-28 08:02:00,234.15,234.4,234.15,234.26,266,7349,MSFT
25,2022-09-28 08:03:00,234.33,234.33,234.21,234.21,11,7349,MSFT
30,2022-09-28 08:04:00,234.3,234.65,234.25,234.41,688,7349,MSFT
40,2022-09-28 08:05:00,234.28,234.28,234.05,234.15,174,7349,MSFT
43,2022-09-28 08:06:00,234.07,234.15,234.0,234.07,141,7349,MSFT
48,2022-09-28 08:07:00,234.09,234.26,234.05,234.06,386,7349,MSFT
51,2022-09-28 08:08:00,234.07,234.33,234.07,234.33,58,7349,MSFT
60,2022-09-28 08:09:00,234.31,234.31,234.15,234.15,82,7349,MSFT
68,2022-09-28 08:10:00,234.2,234.2,234.2,234.2,125,7349,MSFT
70,2022-09-28 08:11:00,234.08,234.35,234.05,234.11,165,7349,MSFT
74,2022-09-28 08:12:00,234.21,234.23,234.13,234.13,254,7349,MSFT
81,2022-09-28 08:13:00,234.11,234.11,233.7,233.8,2682,7349,MSFT
88,2022-09-28 08:14:00,234.0,234.0,233.91,233.95,1397,7349,MSFT
92,2022-09-28 08:15:00,234.03,234.2,233.87,234.2,179,7349,MSFT
96,2022-09-28 08:16:00,234.15,234.19,234.08,234.1,252,7349,MSFT
103,2022-09-28 08:17:00,234.1,234.16,233.99,233.99,727,7349,MSFT
109,2022-09-28 08:18:00,234.06,234.06,233.97,233.97,232,7349,MSFT
118,2022-09-28 08:19:00,233.97,233.97,233.97,233.97,25,7349,MSFT
127,2022-09-28 08:20:00,233.95,234.29,233.95,234.29,527,7349,MSFT
132,2022-09-28 08:22:00,234.29,234.34,234.29,234.34,153,7349,MSFT
140,2022-09-28 08:23:00,234.13,234.13,234.13,234.13,100,7349,MSFT
147,2022-09-28 08:24:00,234.27,234.27,234.24,234.25,99,7349,MSFT
153,2022-09-28 08:25:00,234.27,234.65,234.27,234.59,675,7349,MSFT
156,2022-09-28 08:26:00,234.42,234.42,234.23,234.23,72,7349,MSFT
159,2022-09-28 08:27:00,234.17,234.17,234.1,234.11,327,7349,MSFT
166,2022-09-28 08:28:00,234.11,234.15,233.72,233.73,154,7349,MSFT
172,2022-09-28 08:29:00,233.73,233.92,233.73,233.8,222,7349,MSFT
174,2022-09-28 08:30:00,233.8,233.8,233.7,233.7,119,7349,MSFT
182,2022-09-28 08:31:00,233.8,233.8,233.7,233.7,5,7349,MSFT
188,2022-09-28 08:32:00,233.8,233.8,233.8,233.8,1,7349,MSFT
191,2022-09-28 08:33:00,233.72,233.72,233.69,233.69,11,7349,MSFT
195,2022-09-28 08:34:00,233.68,233.68,233.64,233.64,59,7349,MSFT
200,2022-09-28 08:35:00,233.68,233.8,233.68,233.8,71,7349,MSFT
206,2022-09-28 08:36:00,233.64,233.79,233.6,233.6,505,7349,MSFT
210,2022-09-28 08:37:00,233.65,233.9,233.65,233.9,125,7349,MSFT
216,2022-09-28 08:38:00,233.62,233.62,233.61,233.61,41,7349,MSFT
228,2022-09-28 08:39:00,233.78,233.78,233.45,233.45,52,7349,MSFT
233,2022-09-28 08:40:00,233.52,233.53,233.5,233.53,64,7349,MSFT
238,2022-09-28 08:41:00,233.54,233.68,233.53,233.68,103,7349,MSFT
243,2022-09-28 08:42:00,233.53,233.53,233.44,233.44,102,7349,MSFT
250,2022-09-28 08:43:00,233.63,233.63,233.6,233.6,30,7349,MSFT
257,2022-09-28 08:44:00,233.6,233.69,233.6,233.68,145,7349,MSFT
262,2022-09-28 08:45:00,233.68,233.95,233.68,233.95,273,7349,MSFT
267,2022-09-28 08:46:00,233.9,233.9,233.64,233.86,37,7349,MSFT
272,2022-09-28 08:47:00,233.9,234.28,233.9,234.28,492,7349,MSFT
280,2022-09-28 08:48:00,234.1,234.24,234.1,234.15,314,7349,MSFT
285,2022-09-28 08:49:00,234.2,234.25,234.2,234.25,125,7349,MSFT
287,2022-09-28 08:50:00,233.82,233.82,233.82,233.82,5,7349,MSFT
292,2022-09-28 08:51:00,233.85,234.01,233.82,234.01,95,7349,MSFT
296,2022-09-28 08:52:00,234.13,234.2,234.0,234.2,150,7349,MSFT
303,2022-09-28 08:53:00,233.97,234.51,233.97,234.2,346,7349,MSFT
309,2022-09-28 08:54:00,234.42,234.73,234.42,234.73,453,7349,MSFT
312,2022-09-28 08:55:00,234.85,234.85,234.7,234.7,89,7349,MSFT
317,2022-09-28 08:56:00,234.4,234.44,234.4,234.4,31,7349,MSFT
322,2022-09-28 08:57:00,234.33,234.33,234.23,234.3,62,7349,MSFT
331,2022-09-28 08:58:00,234.11,234.39,234.11,234.39,113,7349,MSFT
338,2022-09-28 08:59:00,234.39,234.45,234.39,234.45,108,7349,MSFT
339,2022-09-28 09:00:00,234.18,234.45,234.11,234.21,235,7349,MSFT
347,2022-09-28 09:01:00,234.38,234.5,234.38,234.5,305,7349,MSFT
351,2022-09-28 09:02:00,234.43,234.43,234.22,234.22,15,7349,MSFT
356,2022-09-28 09:03:00,234.35,234.35,234.32,234.32,4,7349,MSFT
359,2022-09-28 09:04:00,234.14,234.44,234.12,234.44,392,7349,MSFT
360,2022-09-28 09:05:00,234.41,234.48,234.11,234.3,174,7349,MSFT
367,2022-09-28 09:06:00,234.06,234.06,233.8,233.8,323,7349,MSFT
377,2022-09-28 09:08:00,233.8,233.98,233.8,233.98,27,7349,MSFT
378,2022-09-28 09:09:00,233.82,233.82,233.82,233.82,10,7349,MSFT
385,2022-09-28 09:10:00,233.82,233.82,233.61,233.8,126,7349,MSFT
391,2022-09-28 09:11:00,233.8,233.8,233.8,233.8,2,7349,MSFT
392,2022-09-28 09:12:00,233.62,233.62,233.5,233.59,286,7349,MSFT
400,2022-09-28 09:13:00,233.58,233.58,233.58,233.58,3,7349,MSFT
402,2022-09-28 09:14:00,233.51,233.52,233.27,233.52,294,7349,MSFT
409,2022-09-28 09:15:00,233.28,233.36,233.0,233.1,1043,7349,MSFT
423,2022-09-28 09:17:00,233.12,233.12,232.82,232.9,654,7349,MSFT
426,2022-09-28 09:18:00,232.92,233.12,232.7,232.92,382,7349,MSFT
432,2022-09-28 09:19:00,232.8,232.98,232.78,232.98,1323,7349,MSFT
441,2022-09-28 09:20:00,232.9,232.9,232.78,232.78,424,7349,MSFT
443,2022-09-28 09:21:00,232.78,232.79,232.72,232.79,300,7349,MSFT
447,2022-09-28 09:22:00,232.75,232.95,232.75,232.95,281,7349,MSFT
454,2022-09-28 09:23:00,232.78,232.95,232.78,232.85,835,7349,MSFT
455,2022-09-28 09:24:00,232.95,233.31,232.74,233.24,1090,7349,MSFT
